Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2023-09-14 22:55:00,26613.15,26620.0,26601.14,26601.15,31.66075,2023-09-14 22:59:59.999,842662.7203195,1320,13.16236,350329.9810839,0
2023-09-14 23:00:00,26601.14,26609.83,26579.27,26585.44,57.39362,2023-09-14 23:04:59.999,1526377.8936809,1784,22.2476,591622.439288,0
2023-09-14 23:05:00,26585.45,26604.41,26585.44,26601.28,30.90187,2023-09-14 23:09:59.999,821734.4622237,1264,16.53463,439669.6667906,0
2023-09-14 23:10:00,26601.29,26621.0,26601.28,26621.0,17.92004,2023-09-14 23:14:59.999,476881.476844,1084,10.70257,284810.9195943,0
2023-09-14 23:15:00,26620.99,26628.76,26607.84,26607.84,58.26644,2023-09-14 23:19:59.999,1551093.4623851,1487,7.13563,189968.9210231,0
2023-09-14 23:20:00,26607.84,26612.53,26599.29,26600.64,26.21043,2023-09-14 23:24:59.999,697316.7522286,1213,17.4511,464274.887745,0
2023-09-14 23:25:00,26600.64,26600.64,26585.52,26585.53,36.52908,2023-09-14 23:29:59.999,971444.5372598,1412,14.60921,388503.8387327,0
2023-09-14 23:30:00,26585.53,26585.53,26547.2,26551.81,93.18443,2023-09-14 23:34:59.999,2475150.1606057,2355,26.22496,696476.3609847,0
2023-09-14 23:35:00,26551.8,26552.5,26517.73,26539.3,85.33965,2023-09-14 23:39:59.999,2264602.5407784,2249,39.59142,1050547.9534441,0
2023-09-14 23:40:00,26539.3,26539.3,26497.07,26515.52,116.46674,2023-09-14 23:44:59.999,3087731.2722459,2590,47.67327,1263786.8573461,0
2023-09-14 23:45:00,26515.53,26522.19,26510.7,26520.66,59.47873,2023-09-14 23:49:59.999,1577130.5497651,1465,35.01104,928313.3599636,0
2023-09-14 23:50:00,26520.67,26534.36,26515.3,26528.21,49.48548,2023-09-14 23:54:59.999,1312496.5953648,1267,14.59882,387226.943392,0
2023-09-14 23:55:00,26528.2,26530.05,26520.0,26522.73,30.67346,2023-09-14 23:59:59.999,813701.6364465,1028,14.37582,381346.8571789,0
2023-09-15 00:00:00,26522.73,26522.74,26493.37,26512.68,155.49972,2023-09-15 00:04:59.999,4122108.8939449,3105,67.85996,1798777.6217452,0
2023-09-15 00:05:00,26512.67,26521.65,26512.67,26521.64,27.98117,2023-09-15 00:09:59.999,742008.1870819,1198,19.11506,506882.2823,0
2023-09-15 00:10:00,26521.64,26521.65,26500.03,26504.91,41.38902,2023-09-15 00:14:59.999,1097217.9749474,1750,12.08317,320300.3671139,0
2023-09-15 00:15:00,26504.92,26509.35,26490.35,26492.37,45.04798,2023-09-15 00:19:59.999,1193815.2364956,1743,14.19721,376220.2384226,0
2023-09-15 00:20:00,26492.38,26495.57,26470.0,26478.88,68.22052,2023-09-15 00:24:59.999,1806668.0690912,2575,28.40122,752108.723564,0
2023-09-15 00:25:00,26478.88,26508.92,26478.88,26508.92,70.23352,2023-09-15 00:29:59.999,1860605.709593,1815,26.53876,703081.9052798,0
2023-09-15 00:30:00,26508.92,26530.0,26508.91,26529.66,84.30897,2023-09-15 00:34:59.999,2236126.4506459,2378,50.98199,1352130.0996788,0
2023-09-15 00:35:00,26529.65,26543.31,26524.1,26525.04,78.71928,2023-09-15 00:39:59.999,2088734.329674,1943,53.19632,1411459.8936664,0
2023-09-15 00:40:00,26525.04,26548.12,26525.04,26542.84,33.75552,2023-09-15 00:44:59.999,895860.3499195,1290,22.47773,596540.8289673,0
2023-09-15 00:45:00,26542.85,26560.0,26532.02,26532.02,79.49812,2023-09-15 00:49:59.999,2110489.6384415,2120,41.8167,1110167.1489911,0
2023-09-15 00:50:00,26532.03,26532.03,26516.54,26520.01,33.21519,2023-09-15 00:54:59.999,880956.6746923,1506,12.80743,339654.1323659,0
2023-09-15 00:55:00,26520.0,26520.01,26476.36,26481.44,70.17191,2023-09-15 00:59:59.999,1859059.7859988,2106,20.71191,548696.2183781,0
2023-09-15 01:00:00,26481.43,26494.18,26475.83,26489.23,65.83227,2023-09-15 01:04:59.999,1743615.0543116,1931,25.70104,680667.6638538,0
2023-09-15 01:05:00,26489.24,26489.24,26448.19,26484.03,173.6045,2023-09-15 01:09:59.999,4594294.7434773,4282,90.78001,2402346.5764936,0
2023-09-15 01:10:00,26484.03,26509.02,26477.9,26477.9,72.84091,2023-09-15 01:14:59.999,1929792.5863909,2107,21.1861,561259.6310518,0
2023-09-15 01:15:00,26477.9,26484.14,26462.45,26484.14,88.54737,2023-09-15 01:19:59.999,2343818.2376039,2026,42.69214,1130050.8192377,0
2023-09-15 01:20:00,26484.14,26511.88,26482.4,26510.85,81.23049,2023-09-15 01:24:59.999,2152620.9175875,1841,39.06584,1035240.8561311,0
2023-09-15 01:25:00,26510.86,26520.51,26506.94,26509.33,40.98895,2023-09-15 01:29:59.999,1086775.7094294,1750,20.01817,530744.2302527,0
2023-09-15 01:30:00,26509.34,26519.98,26498.81,26500.13,45.90863,2023-09-15 01:34:59.999,1216936.6369388,1394,15.96257,423137.3282326,0
2023-09-15 01:35:00,26500.12,26500.58,26481.34,26481.34,32.25826,2023-09-15 01:39:59.999,854699.8873236,1211,11.14539,295310.9486319,0
2023-09-15 01:40:00,26481.35,26492.35,26476.81,26492.35,46.31582,2023-09-15 01:44:59.999,1226619.2736487,1476,25.34892,671345.1560238,0
2023-09-15 01:45:00,26492.34,26500.0,26492.34,26494.99,40.33374,2023-09-15 01:49:59.999,1068739.7210638,1380,25.80046,683641.8688162,0
2023-09-15 01:50:00,26495.0,26495.0,26485.09,26486.34,35.3588,2023-09-15 01:54:59.999,936527.2973836,963,5.52099,146238.8830516,0
2023-09-15 01:55:00,26486.33,26502.74,26486.33,26502.66,32.73096,2023-09-15 01:59:59.999,867236.5223659,1250,26.88399,712287.4141946,0
2023-09-15 02:00:00,26502.66,26573.83,26502.65,26569.19,141.14702,2023-09-15 02:04:59.999,3746361.7605391,4620,81.39214,2160707.5814855,0
2023-09-15 02:05:00,26569.19,26569.2,26546.03,26548.38,50.64219,2023-09-15 02:09:59.999,1344885.1024174,1969,27.51074,730563.1488879,0
2023-09-15 02:10:00,26548.37,26560.0,26543.94,26560.0,64.23466,2023-09-15 02:14:59.999,1705517.5797395,1603,45.09321,1197275.8614886,0
2023-09-15 02:15:00,26560.0,26574.8,26559.99,26565.84,49.40268,2023-09-15 02:19:59.999,1312519.12749,1955,24.64984,654856.0101065,0
2023-09-15 02:20:00,26565.84,26595.0,26565.83,26593.75,85.23544,2023-09-15 02:24:59.999,2265922.5538844,2381,56.30446,1496777.1778136,0
